,Title,Abstract,Ranking
85,AIR CONDITIONER INDOOR UNIT,"Provided is an air conditioner indoor unit that allows maintenance work without wiring being removed from a control box. An air conditioner indoor unit according to the present invention is embedded in an indoor ceiling face, said air conditioner indoor unit comprising a case, a heat exchanger installed inside the case, a drain pan installed below the heat exchanger, wiring that is drawn into the interior of the case from the exterior of same, and a control box to which the wiring is connected inside the case and that is installed below the drain pan. The case comprises a notched portion on the bottom edge of a side plate constituting a side face, and a wiring pass-through member that is fitted into the notched portion so as to be freely removable. The wiring pass-through member comprises a hole through which the wiring passes. The control box is disposed to be adjacent to the wiring pass-through member.",1
86,COIL PIPE FAN STRUCTURE,"Disclosed is a coil pipe fan structure, comprising an air blower (1), a fan box (2) and a heat exchanger (3). The air blower comprises a volute (11), a wind wheel (12) and an electric motor (13); the wind wheel is mounted in a first cavity (111) of the volute; the volute is provided with a first air inlet (112) and a first air outlet (113); an output shaft of the electric motor extends into the first cavity to be connected to and mounted to the wind wheel; the fan box is provided with a second cavity (21); a second air inlet (22) is provided on one side of the fan box, and a second air outlet (23) is provided on the other side of the fan box; the heat exchanger is mounted in the second cavity and is located between the second air inlet and the second air outlet; and a volute tongue part at the first air outlet of the volute is connected to a static pressure recovery plate (4) which is arranged in an inclined manner, the higher end of the static pressure recovery plate is connected to the volute tongue at the air outlet of the volute, and the lower end of the static pressure recovery plate extends towards the heat exchanger. With the coil pipe fan structure, the operating efficiency of the fan can be effectively improved, thereby reducing losses and saving energy.",1
87,"LuftkÙhler zur KÙhlung der Luft in R_umen, insbesondere in begehbaren Lager- oder KÙhlr_umen","The invention relates to an air cooler for cooling the air in rooms, in particular in storage rooms or cooling rooms in which persons can walk, which air cooler comprises: a housing (1), which has a bottom (1a), a cover (1b), which can be fastened directly and without spacing to a ceiling of the room to be cooled, and at least one side wall (1c), in which at least one air outlet (2) is arranged; at least one planar heat exchanger (3), which is arranged in the housing (1) and which lies at least substantially horizontal; and at least one fan (4) arranged in the housing (1) for sucking in air from the room to be cooled, wherein the air sucked in by the fan (4) flows through the planar heat exchanger (3) at least substantially in the vertical direction and is deflected by the fan (4) in the horizontal direction to the air outlet (2). In order to provide a highly efficient air cooler for cooling the air in large-volume storage rooms or cooling rooms, in particular storage rooms or cooling rooms in which persons can walk, which is arranged directly on a ceiling such that said air cooler can be installed in space-saving manner and which avoids the dripping of condensed water and the accumulation of dust and dirt, the fan (4) and the air outlet (2) are arranged above the heat exchanger (3) in the air cooler according to the invention.",1
88,"INDEXER, INDEXER RETROFIT KIT AND METHOD OF USE THEREOF","A system and method for cleaning of heat exchanger tubes including an assembly, an indexer and a communication device provided with specialized software and programming. The indexer includes orthogonally arranged first and second arms. A trolley and sensors are provided on the indexer arms. One or more lances are provided on the trolley to deliver water jets into the openings. Sensors measure displacement as the trolley is moved relative to the heat exchanger's face plate. An operator controls the system from a distance away using the communication device. During setup, the pattern of the face plate is learned and mapped utilizing information from the sensors as one of the inputs. This information is utilized to help navigate the face plate during a subsequent cleaning operation. A kit for retrofitting existing X-Y indexers is also disclosed.",1
89,INTERNAL CAVITY SUPPORT METHODOLOGY FOR ULTRASONIC ADDITIVE MANUFACTURING,"A manifold structure and method of forming a manifold structure includes using an ultrasonic additive manufacturing (UAM) process to build up a solid structure, machining the solid structure to form a cavity and free-standing support pillars within the cavity, and using a UAM process to build up a finstock layer over the cavity. The support pillars formed by machining have yield strengths high enough to support UAM of the finstock layer over the cavity. A plurality of finstock layers are built up within the cavity to segment the cavity into a plurality of cavities. UAM of the finstock layers enables the finstock layers to be stacked in a direction normal to a direction of flow through the cavity for efficiently transferring heat through the manifold structure.",1
90,PLATE-TYPE HEAT EXCHANGER,"Provided is an easily cleanable and compact plate-type heat exchanger configured such that the size of at least one fluid inlet/outlet opening is increased while the area of a heat transfer surface is maintained large, thereby enabling high heat transfer efficiency to be maintained. A plate-type heat exchanger is provided with: a large number of plates (100) having plates which have portions (120, 130) with protrusions and recesses and which are arranged in parallel; and a large number of spacers arranged so as to be sandwiched between the large number of plates. The spacers are provided at edges of plate surfaces at a predetermined distance from each other and comprise: first spacers (200) for forming first flow passages in cooperation with the plate surfaces; and second spacers (300) provided at edges of the plate surfaces at a predetermined distance from each other and forming second flow passages in cooperation with the plate surfaces, the second flow passages having inlet/outlet openings directed in a different direction from the first flow passages. The first spacers and the second spacers are alternately arranged between the large number of plates.",3
91,3D SPIRAL HEAT EXCHANGER,A spiral heat exchanger features first spiral channels configured to form rows and columns of coiled hot fluid pathways to receive hot fluid; and second spiral channels configured to form corresponding rows and columns of coiled cold fluid pathways to receive cold fluid having a temperature less than the hot fluid. The first spiral channels and the second spiral channels are configured to alternate every other row and column so as to form a matrix of alternating rows and columns of coiled hot and cold fluid pathways separated by alternating coiled walls that act as both fluid separators and conduits through which heat is transferred between the hot fluid and cold fluid.,1
92,INDOOR UNIT OF AIR CONDITIONERS,"This indoor unit of air conditioners comprises: a body which is formed with a suction port and a blowout port; an air blower and a heat exchanger which are installed in an air path; and a wind direction plate which is installed in the blowout port. This indoor unit also comprises a laser device, which projects light along the blowout direction and irradiates a floor surface or a wall surface with a linear laser line. Thus, the provided indoor unit of air conditioners allows the destination position of the blown-out air to be easily visible.",1
93,STACK TYPE HEAT EXCHANGER,"Provided is a stack type heat exchanger comprising a plurality of first plates (22) and a plurality of second plates (24). Each of the first plates and/or each of the second plates has one or more protrusions (70) arranged in the portions of a first flow passage (14) which are located at the periphery of a tank space (18), and protruding from a body (40) toward the first flow passage. Each of the first plates and a corresponding one of the second plates are joined through the protrusions. The protrusions each have a top and a side wall. A thick-walled structure section is formed in the part of the side wall which faces the tank space, and the thickness of the entire thick-walled structure section is large in the direction perpendicular to the stack direction.",5
94,Bypassdichtung fÙr Scheibenheizungsmatrix,"A heat exchanger for a motor vehicle includes a seal and a core. The core includes a first groove formed in a first side and a second groove formed in an opposing second side. The first groove and the second groove are each configured to receive a portion of the seal to secure the seal to the core. The seal includes a cross member and a pair of uprights extending from opposing ends of the cross member, wherein the cross member and the uprights each include a sealing element. The uprights further include a rail extending from the upright and configured to be received in the groove of the core. The core further includes an integrated shear panel formed at opposing ends thereof.",1
95,GREENHOUSE WITH CLEANING AND INTEGRATED WASTE GASES RECYCLING,"FIELD: heating system.SUBSTANCE: greenhouse includes the transit flue duct with bypass flue, the heat exchanger, the fan, the ejector, the ozon and air mixture distributor, connected to the ozon plant, the air/gas manifold, connected to the greenhouse body, equipped with the deflector. The oxidation chamber is installed after the ejector, it is equipped with the ozone-air mixture distributor and the hydraulic lock. The air/gas manifold is connected through its right and left branches to the greenhouse body, installed on the right and left rows of vertical plate heat exchangers, adjacent to the support posts with its end faces. Each vertical plate heat exchanger consists of the vertical rectangular body with the internal vertical partition, made of transparent material with high thermal conductivity and corrosion resistance. The vertical partition is installed with formation of the lower overflow slot. In the upper part of the body inner wall there is the horizontal distribution slot. In the upper part of the body outer wall there is the air/gas sleeve, connected to the right or left branch of the air/gas manifold. The body bottom has the condensate drain sleeve, connected to the right or left branch of the condensate manifold, connected to the oxidation chamber through the hydraulic lock and with anion filter.EFFECT: ecological efficiency increases of the green house with cleaning and integrated waste gases recycling.5 dwg",1
96,WATER-COOLING DEVICE,"A water-cooling device includes a pump case, at least one winding, a driver and a heat exchange member. The pump case has a top section, a bottom section and a peripheral section together defining a pump chamber. The winding is disposed on a circuit board. The circuit board is disposed on any of the top section, the bottom section and the peripheral section. The driver is disposed in the pump chamber. At least one magnetic member is disposed on the driver in a position corresponding to the winding, whereby the magnetic member can induce and magnetize the winding on the circuit board. The heat exchange member is connected with the pump case. By means of the structural design of the water-cooling device, the volume of the water-cooling device is greatly minified and the structure of the water-cooling device is thinned.",1
97,TEMPERATURE PLATE AND HEAT DISSIPATION DEVICE,"A temperature plate includes a plate body and a supporting structure. The plate body has a first plate and a second plat, and a vacuum chamber is defined by the first plate and the second plate. The first plate has a first surface away from the vacuum chamber. The plate body is bent to form a bent portion with the first surface to be a compressive side, and the supporting structure is disposed corresponding to the bent portion. This configuration can prevent the deformation as bending the temperature plate and enhance the heat dissipation performance. In addition, a heat dissipation device adapting the temperature plate is also disclosed, and the heat dissipation device further includes a cooling fin assembly disposed on the first surface of the plate body.",1
98,"INDEXER, INDEXER RETROFIT KIT AND METHOD OF USE THEREOF","A system and method for cleaning of heat exchanger tubes including an assembly, an indexer and a communication device provided with specialized software and programming. The indexer includes orthogonally arranged first and second arms. A trolley and sensors are provided on the indexer arms. One or more lances are provided on the trolley to deliver water jets into the openings. Sensors measure displacement as the trolley is moved relative to the heat exchanger's face plate. An operator controls the system from a distance away using the communication device. During setup, the pattern of the face plate is learned and mapped utilizing information from the sensors as one of the inputs. This information is utilized to help navigate the face plate during a subsequent cleaning operation. A kit for retrofitting existing X-Y indexers is also disclosed.",1
99,HEAT EXCHANGER INCLUDING PASSAGEWAYS,A heat exchanger includes a core defining a first passageway and a second passageway. The core includes a plurality of unit cells coupled together. Each unit cell of the plurality of unit cells includes a first wall and a second wall. The second wall is spaced from the first wall. The first wall at least partially defines a first passageway portion and a second passageway portion. The second wall at least partially defines the second passageway portion. The second wall extends about the first wall such that the first passageway portion is nested within the second passageway portion.,1
100,WATER COOLING DEVICE,"The present invention relates to a water cooling device which comprises a liquid storing shell body having a liquid chamber and a pump having a stator and a rotor. The stator has a coil set disposed electrically on a circuit board. The circuit board and the coil set thereon are both disposed on at least one inner wall of the liquid chamber or integrally overmolded in the liquid storing shell body. The rotor and a propeller oppositely connected to the rotor are received in the liquid chamber and exposed in the cooling liquid. The propeller is provided with a plurality of blades made of metal. At least one magnetic pole region is magnetized on each of the blades opposite to the coil set. Therefore, a thinning effect can be achieved.",1
101,Interface-Free Thermal Management System for High Power Devices Co-Fabricated with Electronic Circuit,"A thermal-interface-material (TIM)-free thermal management apparatus includes a thermally-conductive unitary structure having an integrated circuit (IC) side and cooling system side, the thermally-conductive unitary structure including a plurality of high aspect ratio micro-pillars or porous structures extending from the IC side and a cooling system extending from the cooling system side. The cooling system may be selected from the group consisting of: a vapor chamber, micro-channel cooler, jet-impingement chamber, and air-cooled heat sink. The cooling system and the plurality of high aspect ratio micro-pillars form part of the same homogenous and thermally-conductive unitary structure.",1
102,HEAT TRANSFER DEVICE,"An embodiment relates to a heat transfer device including a heat generating device configured to generate heat having predetermined intensity by a user, a cover in contact with a body of the user while covering the heat generating device, and a heat transfer medium provided between the heat generating device and the cover to transfer the heat generated by the heat generating device, wherein the heat transfer medium is a structure that is formed by entangling a single wire having a predetermined length and has a predetermined width and a predetermined height, and is a structure that is compressed in an axial direction when being in contact with the body of the user and thus has a Poisson's ratio of 0.5 or higher. Thus, a structural change in the heat generating device is not required and only a material in contact with the heat generating device is changed, so that generated heat may more rapidly reach the body of the user.",1
103,HEAT EXCHANGER WITH VARIABLE DENSITY FEATURE ARRAYS,"According to various aspects, exemplary embodiments are provided of heat exchangers and applications. In an exemplary embodiment, a heat exchanger can include at least a first feature array and a second feature array, a channel in an interior of the heat exchanger, through which a fluid can flov, an inlet for the fluid to enter the channel, an outlet for the fluid to exit the channel. The channel may include at least one surface and said first feature array and said second feature array are positioned on the at least one surface of the channel, the fluid configured to flow from said inlet, through said channel to said outlet, and the first and second feature arrays have different densities.",1
104,W_rmeaustauscher,"A heat exchanger includes a heat exchanger block, a first collector box arranged on a first end face of the heat exchanger block and a second collector box arranged on a second end face of the heat exchanger block opposite to the first end face of the heat exchanger block. The heat exchanger block has multiple process channels arranged parallel to one another and connecting the first collector box to the second collector box for the through flow of a process medium, and also multiple coolant medium channels for the through flow of a coolant medium. The coolant medium channels are arranged between the process channels. Adjacent process channels have different material masses, heat-transferring areas of different sizes, and/or structural flow resistances of different sizes, and/or coolant medium channels have different material masses and/or heat-transferring areas of different sizes, so that in operation, in the event of a cyclic temperature change of the process medium, an equal or nearly equal material temperature gradient results between adjacent process channels and lateral parts in the heat exchanger block.",3
105,MULTI-FUNCTIONAL SLIDE TYPE FLAKE ICE CHILLING UNIT,"Disclosed is a multi-functional slide type flake ice chilling unit. A compressor condensing unit (1) is provided with a cooling water pump (2). The cooling water pump (2) is connected to the compressor condensing unit (1) via a cooling water pipeline (3). The compressor condensing unit (1) is connected to an evaporation plate module (5) via a refrigerant pipeline (4). An ice storage tank (8) is arranged below the evaporation plate module (5). The ice storage tank (8) is internally provided with a first circulating water pipeline (13). The ice storage tank (8) is connected to a circulating water pump (9) via the first circulating water pipeline (13). The circulating water pump (9) is connected to a plate heat exchanger (12) via the first circulating water pipeline (13). The circulating water pump (9) is connected to the plate heat exchanger (12) via a second circulating water pipeline (16). The plate heat exchanger (12) is connected to a chilled water pump (14) via a chilled water pipeline (15). The circulating water pump (9) is connected to the evaporation plate module (5) via a third circulating water pipeline (17). The multi-functional slide type flake ice chilling unit has combined refrigeration, ice-making, and ice-melting functions, and has high heat transfer efficiency, a small footprint, good ice-melting performance and low cost.",1
106,Getriebeturbomaschine,"The invention relates to a geared turbo machine (10), comprising a transmission (11), a drive assembly (12) and multiple output assemblies (13, 14, 15, 16), which are integrated to form a machine train; wherein the transmission (11) comprises a central bull gear (17) having a bull gear shaft (18) and multiple pinions (21, 23, 25) engaging into the bull gear (17) and having pinion shafts (22, 24, 26); wherein the drive assembly (12) is designed as a steam turbine in which a first process gas is released in order to provide mechanical drive power; wherein a first output assembly (13) is designed as an at least two-stage main compressor, in which a second process gas is compressed using the mechanical drive power provided by the drive assembly (12), wherein a respective intermediate cooler (36) is connected between two respective stages of the main compressor (13) in order to cool the second process gas; wherein multiple second output assemblies (14, 15, 16) are designed as geared compressors, in which the second process gas is further compressed using the mechanical drive power provided by the drive assembly (12), wherein a respective intermediate cooler (37, 38, 46) is arranged between the last stage of the main compressor (13) and the first geared compressor (14) and between two respective geared compressors (14, 15, 16) and an end cooler (39) is arranged downstream of the last geared compressor in order to cool the second process gas. Each intermediate cooler (36, 37, 38, 46) and the end cooler (39) has a respective housing (40) with a supply connector (41) for the second process gas to be cooled and a discharge connector (42) for the cooled second process gas, as well as a heat exchanger (43) accommodated in the housing (40). At least one intermediate cooler (36, 37, 38, 46) and/or the end cooler (39) has a heat exchanger (43) with a plate-type construction.",1
107,WORK MACHINE HEAT EXCHANGER,"A work machine heat exchanger is provided. The work machine heat exchanger includes an upstream tank having an inlet and a downstream tank having an outlet. The work machine heat exchanger also includes a first core and a second core, both coupled between the upstream and the downstream tank, and including a first inner side sheet and a second inner side sheet, respectively. The first and the second inner side sheet define an air gap between the first and the second core. A pair of supporting bars are stacked between the first and the second inner side sheet, and configured to retain the first and the second inner side sheet parallel to each other. A first supporting bar of the pair of supporting bars is attached to the upstream tank and a second supporting bar of the pair of supporting bars is attached to the downstream tank.",1
109,UNITIZED UNIT OF EQUIPMENT OF MOBILE TECHNOLOGICAL INSTALLATION,"FIELD: machine engineering.SUBSTANCE: unitized unit of the equipment the mobile technological installation contains a metal frame in the form of transverse frames connected together by binding, a bottom plate, walls and a roof, equipped with thermal insulation and attached to metal frame, and the technological equipment placed in the unitized unit. The technological equipment is fitted with a closed cooling circuit and placed in rigid spatial constructions connected with the metal frame, which is equipped with air-penetrable interflow decks. The unitized unit is equipped with a ventilation system with intake screen installed on its exterior panel, sequentially installed on the course of the air and connected among themselves by means of the pipeline with a heater, a fan and a horizontally oriented vent header located above the bottom of the unitized unit along the internal perimeter of its panel, and equipped with equally spaced from each other along its length sockets, directed horizontally to the middle of the bottom of the unitized unit, on the roof of which exhaust ventilation deflectors are installed. The heater of the ventilation system is equipped with devices for the input and output of the heating medium from which the heater is integrated into the closed cooling circuit of the technological equipment. In the closed cooling circuit of the technological equipment a flow-rate regulator of the coolant is built in front of the heater of the ventilation system, and in parallel with the specified regulator and the heater there is a heat exchanger of excessive heat removal provided with an external cooling circuit.EFFECT: invention allows to provide useful use of heat generated during exothermic reactions in the technological equipment of the unitized unit for its heating, and for heating the auxiliary infrastructure.2 cl, 4 dwg",1
110,OUTDOOR BOILER,"FIELD: heating system.SUBSTANCE: outdoor boiler comprises a heat-water-resistant body 1 within the framework of which there is a flue heat exchanger 2 with a furnace unit 3. The flue heat exchanger 2 comprises a blasting burner 4, a chimney raft 5, feed 6 and return 7 lines respectively, and the furnace unit 3 internal surface is coated with the refractory ceramic fiber 8. The boiler is fitted with the impact plate 9 of a size no greater than 1/2 of a furnace unit cross section. The furnace unit is insulated by the refractory ceramic fiber and is mounted on the top 1/3 part of the furnace unit 3.EFFECT: increasing the path length of the gas flame before the contact with flue heat exchanger with full reburning.1 dwg",1
111,AIR CONDITIONING UNIT FOR VEHICLES,"This air conditioning unit for vehicles, which is mounted to a vehicle ceiling (92) within a vehicle interior (91), is provided with an air conditioning case (1) having: an air suction opening (14) for sucking in air within the vehicle interior; an air discharge opening (15) for discharging air into the vehicle interior; and an air passage (10) for allowing air to flow from the air suction opening to the air discharge opening. The air conditioning device for vehicles is also provided with: a blower (3) disposed within the air passage and generating an air flow; and a heat exchanger (5) disposed in the portion of the air passage, which is located downstream of the blower in the air flow direction, and exchanging heat with air. The air conditioning unit for vehicles is further provided with a plate-shaped sound blocking guide (18) disposed in the portion of the air passage, which extends from the air suction opening to the air introduction opening (34) of the blower, and damping sound propagating from the blower to the air suction opening.",1
112,METHOD FOR MANUFACTURING HEAT TRANSFER PLATE,"Provided is a method for manufacturing a heat transfer plate with which it is possible to prevent a shortage of metal at a joining portion. A method for manufacturing a heat transfer plate (1), wherein the method is characterized by including: a sealing-off step in which a lid plate (3) is inserted into a lid groove (13) that is open to a surface (2a) of a base material (2) and that has a recessed groove (12) formed in a bottom surface thereof; a disposition step in which a reinforcing member (4) is disposed so as to contact the surface (2a) of the base member (2) or a surface (3a) of the lid plate (3); and a friction stirring step in which a stirring pin (F2) of a rotation tool (F) is inserted from a surface (4a) side of the reinforcing member (4) while being caused to rotate, the rotation tool (F) is caused to rotate relatively along a portion (J1) where a side surface of the lid groove (13) and a side surface of the lid groove (3) abut while only the stirring pin (F2) is caused to contact the base member (2), lid plate (3), and reinforcing member (4), and and base member (2), lid plate (3), and reinforcing member (4) are joined.",1
113,PRODUCTION METHOD FOR (METH)ACRYLIC ACID OR ESTER THEREOF,"The method comprises steps of: using a vertical multi-tubular heat exchanger having a tubular body, an upper side tube plate and a lower side tube plate disposed on the upper extremity side and the lower extremity side of the tubular body respectively, a plurality of heat-transfer tubes erected between the upper-side tube plate and the lower-side tube plate, and lid parts each disposed on the upper side of the upper-side tube plate and the lower side of the lower-side tube plate, the upper-side tube plate and the lid part forming a receiving chamber whereinto a distillation gas is introduced, which is then cooled while passing through the interior of the heat-transfer tubes and turned into a condensation solution; and introducing into the receiving chamber a solution containing a polymerization inhibitor. Some of the plurality of heat-transfer tubes have upper ends thereof protruding above the upper-side tube plate while the rest are non-protruding. The solution containing the polymerization inhibitor, which has come in contact with the distillation gas inside the receiving chamber, forms a liquid-flow layer of a predetermined liquid depth above the upper side tube plate.",1
114,HEAT EXCHANGER,"Provided is a heat exchanger having a structure in which a heat transfer body is fitted in a hole in a heat exchanger body, wherein the difference between the heat expansion of the heat exchanger body and the heat transfer body can be eliminated without reducing heat exchange efficiency. This heat exchanger is provided with: a body 9 having a flow channel 23 for circulating a fluid to undergo heat exchange; and a heat transfer plate 11 that performs heat exchange with the fluid via the body 9. The heat transfer plate 11 is provided with: a plate body 49 having a contact surface 49a in contact with the outer surface of the body 9; and a plurality of wall-shaped heat transfer bodies 51 that are disposed inside of the body 9 so as to protrude from the contact surface 49a of the plate main body 49. The body 9 is provided with a plurality of slit-shaped holes 25 to which the plurality of wall-shaped heat transfer bodies are respectively fitted by insertion at positions other than the position of the flow channel 23 in order to position the wall-shaped heat transfer bodies on the interior. The heat transfer bodies 51 are formed smaller than the holes 25, in which the heat transfer bodies are fitted, and a gap G1, or G2 or G3 is demarcated between the heat transfer bodies and the holes 25.",1
115,SYSTEMS AND METHODS FOR CAPACITY MODULATION THROUGH EUTECTIC PLATES,"A refrigeration system may include a compressor, a first heat exchanger, a first working fluid flow path, and a second working fluid flow path. The first heat exchanger receives working fluid discharged from the compressor. The first working fluid flow path may receive working fluid from the first heat exchanger and may include an evaporator and an evaporator control valve that is movable between a first position allowing fluid flow through the evaporator and a second position restricting fluid flow through the evaporator. The second working fluid flow path may receive working fluid from the first heat exchanger and may include a eutectic plate and a plate control valve that is movable between a first position allowing fluid flow through the eutectic plate and a second position restricting fluid flow through the eutectic plate.",1
116,CONNECTING MEMBER AND MICRO-CHANNEL HEAT EXCHANGER,"The invention provides a connecting member and a micro-channel heat exchanger. The connecting member comprises a first side plate, a second side plate and an arc-shaped plate connected between the two plates, wherein a plurality of communicating channels (1) which are in parallel with one another and are spaced apart are provided in the connecting member, each of the communicating channels (1) extends from the first side plate to the second side plate. The invention solves the problem that the outer walls of the heat exchange tubes become thin due to bending of the heat exchanger.",3
117,Cold Plate Heat Exchanger,"Embodiments relate to a system with a primary body in communication with at least one heat source. A chamber housed within the primary body includes a boundary to separate the heat source from fluid contact and a secondary body housed in the chamber. The secondary body includes a conduit and a cover in communication with the conduit wherein the cover has a fluid flow inlet extending into the conduit and the conduit includes a series of convection ports to exhaust fluid into the chamber. Upon surging through the convection ports, the fluid comes in contact with the plenum of the primary body and dissipates the heat generated from the heat source and transferred to the primary body. An outlet, separate from the inlet, removes the fluid from the chamber.",3
118,HEAT EXCHANGER IMPROVEMENTS,"The present disclosure relates to a heat exchanger system, and to a method of operation of the same. In one aspect, there is provided a heat exchanger system comprising a recuperator type heat exchanger exchanging heat between a first, flowing fluid, and a second fluid, and a means for reversing the flow direction of the flowing fluid repeatedly. In one form, the second fluid is flowing, and the heat exchanger system further comprises a means for reversing the flow direction of the second fluid frequently. An enhancement of heat transfer effectiveness has been found to be up to 30% due to flow reversal, depending on different factors, including the configuration of the heat exchanger, the thermo-physical properties of the fluids involved in the heat exchanger, and the temperature difference between hot and cold media, _T=Th-Tc.",1
119,Heat Exchanger With Dual Internal Valve,"A heat exchanger apparatus having a first fluid channel, a second fluid channel, a bypass channel, and inlet and outlet manifolds. A thermal bypass valve assembly is positioned within the inlet manifold, and contains an outer sleeve having a first, second and third apertures axially displaced. An inner sleeve positioned within the outer sleeve and moveable from a first to a second position upon actuation of a first actuator. The inner sleeve has a first orifice on a wall of the inner sleeve and a second orifice defined by the inner sleeve second end. The first orifice aligns with the first aperture in the first position and the second aperture in the in the second position. A second actuator coupled to a stopper that engagingly disengages from the second orifice upon actuation of the second actuator.",3
120,HEAT EXCHANGER,"Provided is a heat exchanger, which prevents condensation on the surface of a fin from being dispersed downwind. This heat exchanger comprises at least one heat exchanger tube (2) and a fin (3). The heat exchanger tube (2) includes flow paths (5) therein through which a refrigerant is circulated. The fin (3) is connected to the heat exchanger tube (2). The fin (3) includes a first end, a flat portion (3a), and a second end (3b). The flat portion (3a) has at least one linear rib (15) protruding from the flat portion (3a). The rib (15) includes a rib central portion (15b) and a part that has a straight portion (15a). The rib central portion (15b) is located at the center between the first end and the second end. The aforementioned part is continuous with the rib central portion (15b), and is formed so as to approach the first end or the second end towards the downstream side in the air circulation direction.",3
121,TRAINING DEVICE AND TRAINING METHOD FOR CONSTRUCTING SEAL,"Provided are a heat exchanger assembly and structure thereof, a flange structure, a seal structure, a fastening structure using a plurality of bolts and nuts, and a device and method with which a fastening procedure and so on can be safely performed in the same manner as in actual equipment. The present invention comprises: a shell part (42); a tubular plate part (fixing tubular plate 44) that is provided with a tube (96); a channel part (46) that is provided with a partition plate; bolts (54) and nuts (56) that fix a shell flange (82) and a channel flange (114) to each other; and a portable support mechanism (8-1, 8-2) that movably supports the tubular plate part in the front-rear direction, the up-down direction, and a direction intersecting the front-rear direction, and that movably supports the channel part in the front-rear direction, the up-down direction, and a direction intersecting the front-rear direction.",1
122,Oil demister of heat exchanger type,"The present invention relates to a heat exchange type oil vapor collecting device. In particular, the present invention relates to a device for recovering or removing the condensed oil droplets by enabling the oil vapor to be heat exchanged with a refrigerant while oil vapor of high temperature is passing through a zigzag-shaped narrow gap, thereby condensing fine oil vapor particles into oil droplets. The heat exchange type oil vapor collecting device of the present invention comprises: a duct-shaped or cylindrical pressure container-shaped casing (100) provided on a flow path (10) through which an oil vapor passes; a refrigerant pipeline (200) which is piped within the casing (100), and in which a refrigerant of low temperature is circulated; and a vane cooling plate (300) including a plurality of plates (310) which are supported to an outer surface of the refrigerant pipeline (200) and disposed in parallel by keeping a predetermined gap with each other, and which have a cross-sectional shape multi-bent in a zigzag shape according to a flow direction of the oil vapor. Therefore, the heat exchange type oil vapor collecting device according to the present invention enhances marketability and market competitiveness, and can effectively prevent environmental pollution at the same time by enabling a large flow amount of the oil vapor to be treated within a short time while increasing design freedom of a lubricant circulating system and the like through a compact structure in which a heat exchanger and an oil collecting module are integrated.",1
123,OUTDOOR UNIT FOR AIR CONDITIONER,"The likelihood that refrigerant piping in a so-called all-aluminum heat exchanger using aluminum for refrigerant piping material becomes corroded increases due to dissimilar metal contact with an iron bottom plate of an outdoor unit. An air conditioner outdoor unit according to the present invention is provided with a mounting plate disposed on a bottom plate of a case and having a flat heat exchanging mounting face on which a heat exchanger is mounted. According to such a configuration, water and dust generated inside the case can be discharged to outside the case by being dropped from the heat exchanging mounting face onto the bottom plate. As a result, refrigerant leaks can be prevented even when an all-aluminum heat exchanger serving as the air conditioner heat exchanger is used.",1
124,Silicon-Based Heat Dissipation Device For Heat-Generating Devices,"Embodiments of a silicon-based heat dissipation device and a chip module assembly are described. An apparatus includes a chip module assembly that includes a silicon-based heat dissipation device and an extended device coupled to the silicon-based heat dissipation device. The silicon-based heat dissipation device includes a base portion having a first primary side and a second primary side opposite the first primary side. The silicon-based heat dissipation device also includes a protrusion portion on the first primary side of the base portion and protruding therefrom, with the protrusion portion having a plurality of fins. The extended device includes an extended layer. The second primary side of the base portion is configured to receive one or more heat-generating devices thereon such that at least a portion of heat generated by the one or more heat-generating devices is dissipated to the silicon-based heat-dissipation device by conduction.",1
125,Flexible Heat Sink Thermoelective Device,"A flexible heat sink with a flexible base having a first side configured to engage a heat generating component, and a second side opposite the first side. A plurality of groups of fins extend from the second side of the base. The groups of fins are positioned in an array and spaced apart lengthwise and width wise across the base to enable the heat sink to flex lengthwise and width wise. The heat sink is able to flex lengthwise and width wise between the groups of fins. The fins and groups of fins also may provide some flex. The fins may define triangular, rectangular, or u-shaped channels to enable air flow through the heat sink.",1
126,THERMAL ENERGY STORAGE APPARATUS,"A thermal energy storage apparatus is disclosed. The apparatus includes a base and fluid flow plates which cooperate with the base to define a cavity; a phase change material contained within the cavity; an extendable extension spring at least partially contained within the phase change material; and end plates which cooperate with the fluid flow plates to define fluid flow channels. Inlet and outlet ports allow for the ingress and egress of a heat exchange fluid into the fluid flow channels. In operation, the extension of the extendable extension spring induces solidification of at least a portion of the phase change material from a supercooled liquid state to a solid state, releasing thermal energy, allowing for the transfer of thermal energy across the fluid flow plates from the phase change material to the heat exchange fluid.",1
127,ADAPTABLE ROOF-MOUNTED AIR CONDITIONING SYSTEM FOR VEHICLES,"An air conditioning system for mounting on a vehicle roof includes a condenser module and an evaporator module. The condensor module includes an inlet for receiving a compressed fluid, a heat exchanger for condensing the fluid and transferring heat from the fluid, and an outlet for releasing the condensed fluid. The evaporator module includes a deformable base for placement on the roof, that conforms to the roof's curvature. The evaporator module also includes an inlet receiving the cooled condensed fluid from the condensor outlet, an expansion valve for vaporizing the fluid, a heat exchanger for transferring heat to the vaporized fluid, and an outlet for returning the heated vaporized fluid to the condenser module via a compressor. The evaporator module also includes an interchangeable end plate connected to an end of the base, which maintains the base in a shape that conforms to the curvature of the roof.",1
