Title,Abstract,Publication(s),Applicant(s),International filing date,Priority(s),Inventor(s),IPC,CPC,Simple family member(s),Claims,Ranking,Drawing
","RAYTHEON CO
",08/06/2016,"US2017356698A1 2016-06-08
","MOORE JOHN S
ANDERSEN MICHAEL L
PRUETT JAMES A
MAYBERRY TRAVIS L
","F28F9/02
B23P15/26
B33Y10/00
B33Y80/00
F28D9/00
F28F3/02
F28F3/08
","F28F9/02
B23K20/10
B23P15/26
B33Y10/00
B33Y80/00
F28D9/0093
F28F3/02
F28F3/08
","US2017356698A1
",,1,

PLATE-TYPE HEAT EXCHANGER,"Provided is an easily cleanable and compact plate-type heat exchanger configured such that the size of at least one fluid inlet/outlet opening is increased while the area of a heat transfer surface is maintained large, thereby enabling high heat transfer efficiency to be maintained. A plate-type heat exchanger is provided with: a large number of plates (100) having plates which have portions (120, 130) with protrusions and recesses and which are arranged in parallel; and a large number of spacers arranged so as to be sandwiched between the large number of plates. The spacers are provided at edges of plate surfaces at a predetermined distance from each other and comprise: first spacers (200) for forming first flow passages in cooperation with the plate surfaces; and second spacers (300) provided at edges of the plate surfaces at a predetermined distance from each other and forming second flow passages in cooperation with the plate surfaces, the second flow passages having inlet/outlet openings directed in a different direction from the first flow passages. The first spacers and the second spacers are alternately arranged between the large number of plates.","WO2017212872A1 2017-12-14
","ARCHIVEWORKS CO LTD
",15/05/2017,"JP2017219252A 2016-06-08
","MATSUO EITO
","F28F3/08
F28D9/00
F28F3/04
","F28D9/00
F28F3/04
F28F3/08
","WO2017212872A1
JP2017219252A
CN107735639A
",,3,

3D SPIRAL HEAT EXCHANGER,A spiral heat exchanger features first spiral channels configured to form rows and columns of coiled hot fluid pathways to receive hot fluid; and second spiral channels configured to form corresponding rows and columns of coiled cold fluid pathways to receive cold fluid having a temperature less than the hot fluid. The first spiral channels and the second spiral channels are configured to alternate every other row and column so as to form a matrix of alternating rows and columns of coiled hot and cold fluid pathways separated by alternating coiled walls that act as both fluid separators and conduits through which heat is transferred between the hot fluid and cold fluid.,"WO2017214489A1 2017-12-14
","FLUID HANDLING LLC
",09/06/2017,"US201662347813P 2016-06-09
","LOPES JEFFREY D
","F28D9/04
F28D7/02
F28D7/04
F28D7/16
F28D9/00
F28F1/02
","F28D9/04
B33Y80/00
F28F1/04
F28F3/04
F28F3/12
","WO2017214489A1
US2017370652A1
",,1,

INDOOR UNIT OF AIR CONDITIONERS,"This indoor unit of air conditioners comprises: a body which is formed with a suction port and a blowout port; an air blower and a heat exchanger which are installed in an air path; and a wind direction plate which is installed in the blowout port. This indoor unit also comprises a laser device, which projects light along the blowout direction and irradiates a floor surface or a wall surface with a linear laser line. Thus, the provided indoor unit of air conditioners allows the destination position of the blown-out air to be easily visible.","WO2017212528A1 2017-12-14
","MITSUBISHI ELECTRIC CORP
",06/06/2016,"WO2017212528A1 2016-06-06
","NAKAMURA TOSHINORI
MUKOYAMA TAKUYA
","F24F11/02
",,"WO2017212528A1
",,1,

STACK TYPE HEAT EXCHANGER,"Provided is a stack type heat exchanger comprising a plurality of first plates (22) and a plurality of second plates (24). Each of the first plates and/or each of the second plates has one or more protrusions (70) arranged in the portions of a first flow passage (14) which are located at the periphery of a tank space (18), and protruding from a body (40) toward the first flow passage. Each of the first plates and a corresponding one of the second plates are joined through the protrusions. The protrusions each have a top and a side wall. A thick-walled structure section is formed in the part of the side wall which faces the tank space, and the thickness of the entire thick-walled structure section is large in the direction perpendicular to the stack direction.","WO2017212743A1 2017-12-14
","DENSO CORP
",23/03/2017,"JP2016113808A 2016-06-07
","TAMADA ISAO
MIZUNO YASUHIRO
MIEDA HIROSHI
SUGIMURA RYOHEI
","F28F3/08
F25B39/04
F28D9/02
F28F3/04
","F25B39/04
F28D9/02
F28F3/04
F28F3/08
","WO2017212743A1
",,5,

Bypassdichtung fŸr Scheibenheizungsmatrix,"A heat exchanger for a motor vehicle includes a seal and a core. The core includes a first groove formed in a first side and a second groove formed in an opposing second side. The first groove and the second groove are each configured to receive a portion of the seal to secure the seal to the core. The seal includes a cross member and a pair of uprights extending from opposing ends of the cross member, wherein the cross member and the uprights each include a sealing element. The uprights further include a rail extending from the upright and configured to be received in the groove of the core. The core further includes an integrated shear panel formed at opposing ends thereof.","DE102017206670A1 2017-12-28
","HANON SYSTEMS
",20/04/2017,"US2017370651A1 2016-06-23
","STACH KAMIL
YOO SEOK JONG
JOYCE STEPHEN
SOMHORST LEO
","F28F3/10
F28D9/00
F28F9/00
","F28D9/0093
F02B29/04
F28D9/0043
F28D2021/0082
F28F9/02
F28F9/0219
F28F2230/00
F28F2265/32
F28F2280/04
","DE102017206670A1
US2017370651A1
KR20180000670A
",,1,

GREENHOUSE WITH CLEANING AND INTEGRATED WASTE GASES RECYCLING,"FIELD: heating system.SUBSTANCE: greenhouse includes the transit flue duct with bypass flue, the heat exchanger, the fan, the ejector, the ozon and air mixture distributor, connected to the ozon plant, the air/gas manifold, connected to the greenhouse body, equipped with the deflector. The oxidation chamber is installed after the ejector, it is equipped with the ozone-air mixture distributor and the hydraulic lock. The air/gas manifold is connected through its right and left branches to the greenhouse body, installed on the right and left rows of vertical plate heat exchangers, adjacent to the support posts with its end faces. Each vertical plate heat exchanger consists of the vertical rectangular body with the internal vertical partition, made of transparent material with high thermal conductivity and corrosion resistance. The vertical partition is installed with formation of the lower overflow slot. In the upper part of the body inner wall there is the horizontal distribution slot. In the upper part of the body outer wall there is the air/gas sleeve, connected to the right or left branch of the air/gas manifold. The body bottom has the condensate drain sleeve, connected to the right or left branch of the condensate manifold, connected to the oxidation chamber through the hydraulic lock and with anion filter.EFFECT: ecological efficiency increases of the green house with cleaning and integrated waste gases recycling.5 dwg","RU2641747C2 2018-01-22
RU2016120964A 2017-12-01
","FEDERALNOE GOSUDARSTVENNOE OBRAZOVATELNOE UCHREZHDENIE VYSSHEGO OBRAZOVANIYA YUGO-ZAPADNYJ GOSUDARST
",29/05/2016,"RU2016120964A 2016-05-29
RU2641747C2 2016-05-29
","EZHOV VLADIMIR SERGEEVICH
","B01D53/60
A01G7/02
A01G9/18
A01G9/24
C05C5/02
",,"RU2641747C2
",,1,

WATER-COOLING DEVICE,"A water-cooling device includes a pump case, at least one winding, a driver and a heat exchange member. The pump case has a top section, a bottom section and a peripheral section together defining a pump chamber. The winding is disposed on a circuit board. The circuit board is disposed on any of the top section, the bottom section and the peripheral section. The driver is disposed in the pump chamber. At least one magnetic member is disposed on the driver in a position corresponding to the winding, whereby the magnetic member can induce and magnetize the winding on the circuit board. The heat exchange member is connected with the pump case. By means of the structural design of the water-cooling device, the volume of the water-cooling device is greatly minified and the structure of the water-cooling device is thinned.","US2017363362A1 2017-12-21
","ASIA VITAL COMPONENTS CO LTD
",16/06/2016,"US2017363362A1 2016-06-16
","SHEN CHING-HANG
","F28D15/00
F04D13/06
F04D29/22
F28D21/00
F28F3/02
F28F9/00
","F28D15/00
F04D13/0693
F04D29/2261
F05B2280/5008
F28D2021/0028
F28F3/02
F28F3/12
F28F9/001
F28F2250/08
","US2017363362A1
",,1,

TEMPERATURE PLATE AND HEAT DISSIPATION DEVICE,"A temperature plate includes a plate body and a supporting structure. The plate body has a first plate and a second plat, and a vacuum chamber is defined by the first plate and the second plate. The first plate has a first surface away from the vacuum chamber. The plate body is bent to form a bent portion with the first surface to be a compressive side, and the supporting structure is disposed corresponding to the bent portion. This configuration can prevent the deformation as bending the temperature plate and enhance the heat dissipation performance. In addition, a heat dissipation device adapting the temperature plate is also disclosed, and the heat dissipation device further includes a cooling fin assembly disposed on the first surface of the plate body.","US2017363366A1 2017-12-21
","DELTA ELECTRONICS INC
",15/06/2017,"CN107529315A 2017-06-06
US201662350373P 
US2017363366A1 2017-06-15
","LIN SHIH-KANG
TAN LI-KUANG
","F28D15/02
F28D15/04
F28D21/00
F28F3/06
F28F9/007
","F28D15/0275
F21V29/74
F21Y2115/10
F28D15/0233
F28D15/04
F28D2021/0028
F28F3/06
F28F9/0075
F28F2275/08
","US2017363366A1
",,1,

"INDEXER, INDEXER RETROFIT KIT AND METHOD OF USE THEREOF","A system and method for cleaning of heat exchanger tubes including an assembly, an indexer and a communication device provided with specialized software and programming. The indexer includes orthogonally arranged first and second arms. A trolley and sensors are provided on the indexer arms. One or more lances are provided on the trolley to deliver water jets into the openings. Sensors measure displacement as the trolley is moved relative to the heat exchanger's face plate. An operator controls the system from a distance away using the communication device. During setup, the pattern of the face plate is learned and mapped utilizing information from the sensors as one of the inputs. This information is utilized to help navigate the face plate during a subsequent cleaning operation. A kit for retrofitting existing X-Y indexers is also disclosed.","US2017364096A1 2017-12-21
","TERYDON INC
",29/08/2017,"US201361821433P 
US2014336793A1 2014-03-11
US2014336827A1 2014-03-11
US2014336828A1 2014-03-11
US201662381390P 
US2017364096A1 2017-08-29
","GROMES JR TERRY D
EAST GORDON W
GROMES SR TERRY D
SHOCKEY JR JON M
GROMES KRISTEN E
JACKSON WILLIAM C
","G05D7/06
","G05D7/0617
B24C7/0015
B26D5/00
B26D7/22
B26F3/004
G05B9/02
G05B19/406
G05B2219/39447
G05B2219/45036
G06F3/04886
","US2017364096A1
",,1,

HEAT EXCHANGER INCLUDING PASSAGEWAYS,A heat exchanger includes a core defining a first passageway and a second passageway. The core includes a plurality of unit cells coupled together. Each unit cell of the plurality of unit cells includes a first wall and a second wall. The second wall is spaced from the first wall. The first wall at least partially defines a first passageway portion and a second passageway portion. The second wall at least partially defines the second passageway portion. The second wall extends about the first wall such that the first passageway portion is nested within the second passageway portion.,"US2017367218A1 2017-12-21
","GEN ELECTRIC
",03/01/2017,"US201662352862P 
US2017367218A1 2017-01-03
","GERSTLER WILLIAM DWIGHT
ERNO DANIEL JASON
KENWORTHY MICHAEL THOMAS
KUPISZEWSKI THOMAS
","H05K7/20
F28D9/00
F28F7/02
H05K1/02
","H05K7/20327
F28D7/0025
F28D7/0066
F28D9/0093
F28D15/0233
F28D15/0266
F28D15/0275
F28D15/04
F28D20/021
F28F1/045
F28F7/02
F28F2270/00
H05K1/0203
H05K7/20309
H05K7/20318
H05K7/20336
","US2017367218A1
US2017363363A1
",,1,

WATER COOLING DEVICE,"The present invention relates to a water cooling device which comprises a liquid storing shell body having a liquid chamber and a pump having a stator and a rotor. The stator has a coil set disposed electrically on a circuit board. The circuit board and the coil set thereon are both disposed on at least one inner wall of the liquid chamber or integrally overmolded in the liquid storing shell body. The rotor and a propeller oppositely connected to the rotor are received in the liquid chamber and exposed in the cooling liquid. The propeller is provided with a plurality of blades made of metal. At least one magnetic pole region is magnetized on each of the blades opposite to the coil set. Therefore, a thinning effect can be achieved.","US2017367216A1 2017-12-21
","ASIA VITAL COMPONENTS CO LTD
",16/06/2016,"US2017367216A1 2016-06-16
","SHEN CHING-HANG
","H05K7/20
F28D15/00
F28D21/00
F28F3/02
F28F19/02
","H05K7/20272
F28D15/00
F28D2021/0031
F28F3/02
F28F3/12
F28F19/02
F28F2230/00
F28F2250/08
","US2017367216A1
",,1,

Interface-Free Thermal Management System for High Power Devices Co-Fabricated with Electronic Circuit,"A thermal-interface-material (TIM)-free thermal management apparatus includes a thermally-conductive unitary structure having an integrated circuit (IC) side and cooling system side, the thermally-conductive unitary structure including a plurality of high aspect ratio micro-pillars or porous structures extending from the IC side and a cooling system extending from the cooling system side. The cooling system may be selected from the group consisting of: a vapor chamber, micro-channel cooler, jet-impingement chamber, and air-cooled heat sink. The cooling system and the plurality of high aspect ratio micro-pillars form part of the same homogenous and thermally-conductive unitary structure.","US2017363373A1 2017-12-21
","TELEDYNE SCIENT & IMAGING LLC
",16/06/2016,"US2017363373A1 2016-06-16
","SEMENIC TADEJ
BHUNIA AVIJIT
CAI STEVE Q
","F28F13/00
F28D15/04
F28D21/00
F28F3/02
F28F9/007
F28F13/06
","F28F13/003
F28D15/0233
F28D15/04
F28D15/046
F28D2021/0028
F28F3/02
F28F3/048
F28F9/0075
F28F13/06
F28F2255/18
F28F2260/00
H01L23/427
","US2017363373A1
",,1,

HEAT TRANSFER DEVICE,"An embodiment relates to a heat transfer device including a heat generating device configured to generate heat having predetermined intensity by a user, a cover in contact with a body of the user while covering the heat generating device, and a heat transfer medium provided between the heat generating device and the cover to transfer the heat generated by the heat generating device, wherein the heat transfer medium is a structure that is formed by entangling a single wire having a predetermined length and has a predetermined width and a predetermined height, and is a structure that is compressed in an axial direction when being in contact with the body of the user and thus has a Poisson's ratio of 0.5 or higher. Thus, a structural change in the heat generating device is not required and only a material in contact with the heat generating device is changed, so that generated heat may more rapidly reach the body of the user.","US2017363370A1 2017-12-21
","GWANGJU INSTITUTE OF SCIENCE AND TECH
",26/05/2017,"KR101816654B1 2016-05-27
KR20170134026A 2016-05-27
","HAN JUN KYU
YOU MYUNG ILL
KIM HYUN WOO
SEOL JAE HUN
","F28F3/02
B60N2/56
","F28F3/022
B60N2/56
B60N2/5678
H01L23/36
","US2017363370A1
KR101816654B1
",,1,

HEAT EXCHANGER WITH VARIABLE DENSITY FEATURE ARRAYS,"According to various aspects, exemplary embodiments are provided of heat exchangers and applications. In an exemplary embodiment, a heat exchanger can include at least a first feature array and a second feature array, a channel in an interior of the heat exchanger, through which a fluid can flov, an inlet for the fluid to enter the channel, an outlet for the fluid to exit the channel. The channel may include at least one surface and said first feature array and said second feature array are positioned on the at least one surface of the channel, the fluid configured to flow from said inlet, through said channel to said outlet, and the first and second feature arrays have different densities.","US2017363375A1 2017-12-21
","GEORGIA TECH RES CORPORATION
",29/06/2016,"US201562186796P 
US2017363375A1 2016-06-29
","MAYOR JAMES RHETT
LOEFFLER BENJAMIN H
HESSE DANIELLE
","F28F13/08
F28F3/04
F28F9/22
","F28F13/08
F28F3/022
F28F3/048
F28F3/12
F28F9/22
F28F2215/04
H05K7/20254
H05K7/20927
","US2017363375A1
",,1,

W_rmeaustauscher,"A heat exchanger includes a heat exchanger block, a first collector box arranged on a first end face of the heat exchanger block and a second collector box arranged on a second end face of the heat exchanger block opposite to the first end face of the heat exchanger block. The heat exchanger block has multiple process channels arranged parallel to one another and connecting the first collector box to the second collector box for the through flow of a process medium, and also multiple coolant medium channels for the through flow of a coolant medium. The coolant medium channels are arranged between the process channels. Adjacent process channels have different material masses, heat-transferring areas of different sizes, and/or structural flow resistances of different sizes, and/or coolant medium channels have different material masses and/or heat-transferring areas of different sizes, so that in operation, in the event of a cyclic temperature change of the process medium, an equal or nearly equal material temperature gradient results between adjacent process channels and lateral parts in the heat exchanger block.","DE202016104702U1 2017-11-28
","AKG THERMOTECHNIK INT GMBH & CO KG
",26/08/2016,"DE202016104702U1 2016-08-26
",,"F28F13/14
F28D1/03
F28D1/053
F28F1/14
F28F13/06
","F28D9/0062
F28D1/0366
F28D1/05333
F28D1/05366
F28D2021/0082
F28D2021/0089
F28D2021/0094
F28F1/02
F28F1/022
F28F1/08
F28F1/40
F28F9/02
F28F13/06
F28F13/12
F28F13/14
F28F2210/08
F28F2215/04
F28F2225/04
F28F2265/26
","DE202016104702U1
DE102017119119A1
US2018058765A1
",,3,

MULTI-FUNCTIONAL SLIDE TYPE FLAKE ICE CHILLING UNIT,"Disclosed is a multi-functional slide type flake ice chilling unit. A compressor condensing unit (1) is provided with a cooling water pump (2). The cooling water pump (2) is connected to the compressor condensing unit (1) via a cooling water pipeline (3). The compressor condensing unit (1) is connected to an evaporation plate module (5) via a refrigerant pipeline (4). An ice storage tank (8) is arranged below the evaporation plate module (5). The ice storage tank (8) is internally provided with a first circulating water pipeline (13). The ice storage tank (8) is connected to a circulating water pump (9) via the first circulating water pipeline (13). The circulating water pump (9) is connected to a plate heat exchanger (12) via the first circulating water pipeline (13). The circulating water pump (9) is connected to the plate heat exchanger (12) via a second circulating water pipeline (16). The plate heat exchanger (12) is connected to a chilled water pump (14) via a chilled water pipeline (15). The circulating water pump (9) is connected to the evaporation plate module (5) via a third circulating water pipeline (17). The multi-functional slide type flake ice chilling unit has combined refrigeration, ice-making, and ice-melting functions, and has high heat transfer efficiency, a small footprint, good ice-melting performance and low cost.","WO2017215130A1 2017-12-21
","XIA ZHENYU
",05/09/2016,"CN107504718A 2016-06-14
","XIA ZHENYU
","F24F5/00
","F24F5/00
","WO2017215130A1
CN107504718A
",,1,

Getriebeturbomaschine,"The invention relates to a geared turbo machine (10), comprising a transmission (11), a drive assembly (12) and multiple output assemblies (13, 14, 15, 16), which are integrated to form a machine train; wherein the transmission (11) comprises a central bull gear (17) having a bull gear shaft (18) and multiple pinions (21, 23, 25) engaging into the bull gear (17) and having pinion shafts (22, 24, 26); wherein the drive assembly (12) is designed as a steam turbine in which a first process gas is released in order to provide mechanical drive power; wherein a first output assembly (13) is designed as an at least two-stage main compressor, in which a second process gas is compressed using the mechanical drive power provided by the drive assembly (12), wherein a respective intermediate cooler (36) is connected between two respective stages of the main compressor (13) in order to cool the second process gas; wherein multiple second output assemblies (14, 15, 16) are designed as geared compressors, in which the second process gas is further compressed using the mechanical drive power provided by the drive assembly (12), wherein a respective intermediate cooler (37, 38, 46) is arranged between the last stage of the main compressor (13) and the first geared compressor (14) and between two respective geared compressors (14, 15, 16) and an end cooler (39) is arranged downstream of the last geared compressor in order to cool the second process gas. Each intermediate cooler (36, 37, 38, 46) and the end cooler (39) has a respective housing (40) with a supply connector (41) for the second process gas to be cooled and a discharge connector (42) for the cooled second process gas, as well as a heat exchanger (43) accommodated in the housing (40). At least one intermediate cooler (36, 37, 38, 46) and/or the end cooler (39) has a heat exchanger (43) with a plate-type construction.","DE102016112453A1 2018-01-11
","MAN DIESEL & TURBO SE
",07/07/2016,"DE102016112453A1 2016-07-07
","BULJINA IRHAD
FAULHABER STEPHAN
","F01D15/12
F04D13/02
F16H1/22
","F04D17/127
F01D15/08
F01D15/12
F04D19/026
F04D25/028
F04D25/04
F04D29/5826
F28D9/0006
","WO2018007029A1
DE102016112453A1
",,1,

WORK MACHINE HEAT EXCHANGER,"A work machine heat exchanger is provided. The work machine heat exchanger includes an upstream tank having an inlet and a downstream tank having an outlet. The work machine heat exchanger also includes a first core and a second core, both coupled between the upstream and the downstream tank, and including a first inner side sheet and a second inner side sheet, respectively. The first and the second inner side sheet define an air gap between the first and the second core. A pair of supporting bars are stacked between the first and the second inner side sheet, and configured to retain the first and the second inner side sheet parallel to each other. A first supporting bar of the pair of supporting bars is attached to the upstream tank and a second supporting bar of the pair of supporting bars is attached to the downstream tank.","US2018038656A1 2018-02-08
","CATERPILLAR INC
",08/08/2016,"US2018038656A1 2016-08-08
","KENNEDY JOSEPH L
TAN DONGMING
","F28D9/00
F28F3/02
F28F9/007
F28F9/02
","F28D9/0093
F28D1/0443
F28D1/05366
F28D9/0037
F28D2021/0094
F28F3/025
F28F9/0075
F28F9/0214
F28F2265/26
F28F2270/00
F28F2270/02
","US2018038656A1
CN107701290A
",,1,

,"FIELD: medicine.SUBSTANCE: thermoelectric semiconductor device for neck-collar zone massage contains a flexible poroelastic base with an ability to fit the neck and collar zone. The base is made in the form of an elastic interlayer, on which thermoelectric modules (TEM) are fixed. TEM hot junctions are in a thermal contact with a highly heat-conductive gel layer, containing a thermal sensor, and bearing junctions - with aluminium plates located in the cavity of an elastic fluid heat exchanger, common to the entire combination of thermoelectric modules and provided with fittings for flexible tubes connection. Elastic interlayer contains ferromagnetic needle elements located between each adjacent pair of TEM. Magnetic action in the device is created by wires surrounding each ferromagnetic needle element with the opposite direction of winding at adjacent ferromagnetic needle elements feeding the corresponding TEM. Fastening of TEM and ferromagnetic needle elements on the elastic interlayer is made taking into account exclusion of influence at the area of the spinal column.EFFECT: combination of the function of alternating heating and cooling massage applicators in a single device, with a possibility of creation of a temperature regime and a magnetic exposure mode.1 dwg","RU2016123310A 2017-12-14
","FEDERALNOE GOSUDARSTVENNOE BYUDZHETNOE OBRAZOVATELNOE UCHREZHDENIE VYSSHEGO OBRAZOVANIYA DAGESTANSKI
",10/06/2016,"RU2016123310A 2016-06-10
","RAGIMOVA TAMILA ARSLANOVNA
ISMAILOV TAGIR ABDURASHIDOVICH
KATSIEVA ELENA GASANBEKOVNA
KHAZAMOVA MADINA ABDULAEVNA
RAGIMOVA TAMARA AZAMATOVNA
","A61F7/00
A61H11/00
A61H39/08
A61N2/00
F25B21/02
H01L35/28
",,"RU2016123310A
",,1,

UNITIZED UNIT OF EQUIPMENT OF MOBILE TECHNOLOGICAL INSTALLATION,"FIELD: machine engineering.SUBSTANCE: unitized unit of the equipment the mobile technological installation contains a metal frame in the form of transverse frames connected together by binding, a bottom plate, walls and a roof, equipped with thermal insulation and attached to metal frame, and the technological equipment placed in the unitized unit. The technological equipment is fitted with a closed cooling circuit and placed in rigid spatial constructions connected with the metal frame, which is equipped with air-penetrable interflow decks. The unitized unit is equipped with a ventilation system with intake screen installed on its exterior panel, sequentially installed on the course of the air and connected among themselves by means of the pipeline with a heater, a fan and a horizontally oriented vent header located above the bottom of the unitized unit along the internal perimeter of its panel, and equipped with equally spaced from each other along its length sockets, directed horizontally to the middle of the bottom of the unitized unit, on the roof of which exhaust ventilation deflectors are installed. The heater of the ventilation system is equipped with devices for the input and output of the heating medium from which the heater is integrated into the closed cooling circuit of the technological equipment. In the closed cooling circuit of the technological equipment a flow-rate regulator of the coolant is built in front of the heater of the ventilation system, and in parallel with the specified regulator and the heater there is a heat exchanger of excessive heat removal provided with an external cooling circuit.EFFECT: invention allows to provide useful use of heat generated during exothermic reactions in the technological equipment of the unitized unit for its heating, and for heating the auxiliary infrastructure.2 cl, 4 dwg","RU2639231C2 2017-12-20
RU2016123045A 2017-12-14
","FED GOSUDARSTVENNOE UNITARNOE PREDPRIYATIE KRYLOVSKIJ GOSUDARSTVENNYJ NAUCHNYJ TSENTR
",09/06/2016,"RU2016123045A 2016-06-09
RU2639231C2 2016-06-09
","RYABOV EVGENIJ ANATOLEVICH
KILDEEV RAVIL ISMAILOVICH
DERGACHEV ALEKSANDR ALEKSANDROVICH
VERBITSKIJ SERGEJ VLADIMIROVICH
ZIMIN ALEKSANDR DMITRIEVICH
SINELNIKOVA YANA ANATOLEVNA
DOLINSKIJ SERGEJ ERIKOVICH
DZHUMAMUKHAMEDOV DANIYAR SHARAFIEVICH
MALYGIN VLADIMIR EVGENEVICH
","E04B1/348
E04H5/02
F24F3/147
",,"RU2639231C2
",,1,

OUTDOOR BOILER,"FIELD: heating system.SUBSTANCE: outdoor boiler comprises a heat-water-resistant body 1 within the framework of which there is a flue heat exchanger 2 with a furnace unit 3. The flue heat exchanger 2 comprises a blasting burner 4, a chimney raft 5, feed 6 and return 7 lines respectively, and the furnace unit 3 internal surface is coated with the refractory ceramic fiber 8. The boiler is fitted with the impact plate 9 of a size no greater than 1/2 of a furnace unit cross section. The furnace unit is insulated by the refractory ceramic fiber and is mounted on the top 1/3 part of the furnace unit 3.EFFECT: increasing the path length of the gas flame before the contact with flue heat exchanger with full reburning.1 dwg","RU2638103C1 2017-12-11
","SERDYUKOV ALEKSEJ ALEKSEEVICH
",30/11/2016,"RU2638103C1 2016-11-30
","SERDYUKOV ALEKSEJ ALEKSEEVICH
","F24H1/00
F23C3/00
",,"RU2638103C1
",,1,

AIR CONDITIONING UNIT FOR VEHICLES,"This air conditioning unit for vehicles, which is mounted to a vehicle ceiling (92) within a vehicle interior (91), is provided with an air conditioning case (1) having: an air suction opening (14) for sucking in air within the vehicle interior; an air discharge opening (15) for discharging air into the vehicle interior; and an air passage (10) for allowing air to flow from the air suction opening to the air discharge opening. The air conditioning device for vehicles is also provided with: a blower (3) disposed within the air passage and generating an air flow; and a heat exchanger (5) disposed in the portion of the air passage, which is located downstream of the blower in the air flow direction, and exchanging heat with air. The air conditioning unit for vehicles is further provided with a plate-shaped sound blocking guide (18) disposed in the portion of the air passage, which extends from the air suction opening to the air introduction opening (34) of the blower, and damping sound propagating from the blower to the air suction opening.","WO2017221552A1 2017-12-28
","DENSO CORP
",27/04/2017,"JP2016122837A 2016-06-21
","MIYAHARA TAKAFUMI
","B60H1/00
F24F13/02
F24F13/24
","B60H1/00
F24F13/02
F24F13/24
","WO2017221552A1
",,1,

METHOD FOR MANUFACTURING HEAT TRANSFER PLATE,"Provided is a method for manufacturing a heat transfer plate with which it is possible to prevent a shortage of metal at a joining portion. A method for manufacturing a heat transfer plate (1), wherein the method is characterized by including: a sealing-off step in which a lid plate (3) is inserted into a lid groove (13) that is open to a surface (2a) of a base material (2) and that has a recessed groove (12) formed in a bottom surface thereof; a disposition step in which a reinforcing member (4) is disposed so as to contact the surface (2a) of the base member (2) or a surface (3a) of the lid plate (3); and a friction stirring step in which a stirring pin (F2) of a rotation tool (F) is inserted from a surface (4a) side of the reinforcing member (4) while being caused to rotate, the rotation tool (F) is caused to rotate relatively along a portion (J1) where a side surface of the lid groove (13) and a side surface of the lid groove (3) abut while only the stirring pin (F2) is caused to contact the base member (2), lid plate (3), and reinforcing member (4), and and base member (2), lid plate (3), and reinforcing member (4) are joined.","WO2018003449A1 2018-01-04
","NIPPON LIGHT METAL CO
",08/06/2017,"JP2016131489A 
JP2016187454A 
JP2017011376A 
","HORI HISASHI
SEO NOBUSHIRO
","B23K20/12
F28F3/12
","B23K20/12
F28F3/12
","WO2018003449A1
",,1,

PRODUCTION METHOD FOR (METH)ACRYLIC ACID OR ESTER THEREOF,"The method comprises steps of: using a vertical multi-tubular heat exchanger having a tubular body, an upper side tube plate and a lower side tube plate disposed on the upper extremity side and the lower extremity side of the tubular body respectively, a plurality of heat-transfer tubes erected between the upper-side tube plate and the lower-side tube plate, and lid parts each disposed on the upper side of the upper-side tube plate and the lower side of the lower-side tube plate, the upper-side tube plate and the lid part forming a receiving chamber whereinto a distillation gas is introduced, which is then cooled while passing through the interior of the heat-transfer tubes and turned into a condensation solution; and introducing into the receiving chamber a solution containing a polymerization inhibitor. Some of the plurality of heat-transfer tubes have upper ends thereof protruding above the upper-side tube plate while the rest are non-protruding. The solution containing the polymerization inhibitor, which has come in contact with the distillation gas inside the receiving chamber, forms a liquid-flow layer of a predetermined liquid depth above the upper side tube plate.","WO2018003187A1 2018-01-04
","MITSUBISHI CHEM CORP
",10/03/2017,"JP2016128861A 2016-06-29
","OGAWA YASUSHI
","C07C51/44
C07C57/075
F28D7/16
F28F9/22
F28F19/00
","C07C51/44
F28D7/16
F28F9/22
F28F19/00
","WO2018003187A1
JP2018008925A
",,1,

HEAT EXCHANGER,"Provided is a heat exchanger having a structure in which a heat transfer body is fitted in a hole in a heat exchanger body, wherein the difference between the heat expansion of the heat exchanger body and the heat transfer body can be eliminated without reducing heat exchange efficiency. This heat exchanger is provided with: a body 9 having a flow channel 23 for circulating a fluid to undergo heat exchange; and a heat transfer plate 11 that performs heat exchange with the fluid via the body 9. The heat transfer plate 11 is provided with: a plate body 49 having a contact surface 49a in contact with the outer surface of the body 9; and a plurality of wall-shaped heat transfer bodies 51 that are disposed inside of the body 9 so as to protrude from the contact surface 49a of the plate main body 49. The body 9 is provided with a plurality of slit-shaped holes 25 to which the plurality of wall-shaped heat transfer bodies are respectively fitted by insertion at positions other than the position of the flow channel 23 in order to position the wall-shaped heat transfer bodies on the interior. The heat transfer bodies 51 are formed smaller than the holes 25, in which the heat transfer bodies are fitted, and a gap G1, or G2 or G3 is demarcated between the heat transfer bodies and the holes 25.","WO2018002963A1 2018-01-04
","NEO CORP
",27/06/2016,"WO2018002963A1 2016-06-27
","KIMURA YOICHI
","F28F3/12
F28F3/02
","F28F3/02
F28F3/12
","JP6247429B1
WO2018002963A1
",,1,
